Sr.No,Name,Prices1,Prices2
0,Barbie DHL84 Sonsuz Hareket Bebeği,"41,12 ","trendyol.com41,12 TL"
1,Barbie FHY73 Barbie'nin Rüya Evi,"62,00 ","n11.com62,00 TL"
2,Barbie Color Reveal Renk Değiştiren Sürpriz Bebekler,"2.769,00 ","trendyol.com2.769,00 TL"
3,Cry Babies W1-Mel CYB12000 Tutti Frutti Ağlayan Bebek,,"amazon.com.tr2.996,90 TL"
4,Barbie GFL38 Bebek Bakıcısı Skipper Uyku Eğitiminde Oyun Seti,"105,00 ","gittigidiyor.com105,00 TL"
5,Cicciobello Çok Hastayım Bebek Oyuncak,,"toysall.com.tr114,90 TL"
6,Barbie FXN96 Gökkuşağı Renkli Saçlar Bebeği,"169,00 ","trendyol.com169,00 TL"
7,Barbie FTG80-FTG81 Sonsuz Hareket Bebekleri,"500,32 ","kidsmomi.com500,32 TL"
8,Barbie FXG90 Chelsea'nin Karavanı,"179,99 ","toyzzshop.com179,99 TL"
9,Barbie DJY08 Kumral Sonsuz Hareket,"179,99 ","hepsiburada.com179,99 TL"
10,Barbie GFL82 Dreamtopia Sihirli Kuyruklu Deniz Kızı,"789,00 ","hepsiburada.com789,00 TL"
11,Cry Babies Dreamy Fantasy Bebekler,"799,99 ","trendyol.com799,99 TL"
12,Barbie GDG76 Barbie'nin Pembe Uçağı,,"amazon.com.tr189,71 TL"
13,Beyaz Oyuncak Altını Islatan Bebek,,"toysall.com.tr189,90 TL"
14,Barbie GTF89 Dreamtopia Renk Değiştiren Sihirli Denizkızı,"48,91 ","trendyol.com48,91 TL"
15,Barbie GNK01 Nefes Egzersizi Bebeği,"64,00 ","n11.com64,00 TL"
16,Barbie FYW85 Barbie'nin Son Moda Kıyafetleri,,"amazon.com.tr318,58 TL"
17,Barbie FWV20 Barbie Seyahatte Chelsea ve Aksesuarları,"318,90 ","hepsiburada.com318,90 TL"
18,Barbie DHL82 Sonsuz Hareket Bebekleri,"66,31 ","hepsiburada.com66,31 TL"
19,Barbie DHC40 Işıltılı Gökkuşağı Denizkızı,"94,90 ","n11.com94,90 TL"
20,Lol S2 CDU12 572824EUC Surprise OMG Hediye Sürprizi,"40,72 ","hepsiburada.com40,72 TL"
21,Barbie Sonsuz Hareket Bebekleri,"131,00 ","n11.com131,00 TL"
22,Lol Remix Bebekler,"570,00 ","n11.com570,00 TL"
23,Barbie GVR04-GRN27 Extra Renkli Ceketli Bebek,"621,30 ","trendyol.com621,30 TL"
24,Cry Babies Magic Tears Sürpriz Paket,"719,90 ","n11.com719,90 TL"
25,Mega Oyuncak Baby Gadi Çiş Yapan Bebek,,"amazon.com.tr745,15 TL"
26,Barbie GTG00 Dreamtopia Örgü Saçlı Prenses Bebeği,"89,00 ","trendyol.com89,00 TL"
27,Barbie FTG82 Sonsuz Hareket Bebekleri,"107,42 ","hepsiburada.com107,42 TL"
28,Barbie GKH26 Dreamtopia Karlar Prensesi Bebek,"199,99 ","trendyol.com199,99 TL"
29,Barbie Leopar Desenli Saçlar Bebeği GRN81,,"amazon.com.tr203,10 TL"
30,Sunman 70 cm Gökkuşağı Bebekleri,,"amazon.com.tr235,67 TL"
31,Cicciobello Afacan Bebek,"235,91 ","hepsiburada.com235,91 TL"
